date,category_id,category_title,revenue
2025-03-01,1,Wine,137102304.0
2025-04-01,1,Wine,137645008.0
2025-05-01,1,Wine,128463480.0
2025-06-01,1,Wine,127960512.0
2025-07-01,1,Wine,131058992.0
2025-08-01,1,Wine,134213232.0
2025-09-01,1,Wine,157881392.0
2025-10-01,1,Wine,134539200.0
2025-11-01,1,Wine,128604336.0
2025-12-01,1,Wine,112565888.0
2026-01-01,1,Wine,126447552.0
2026-02-01,1,Wine,126409808.0
2026-03-01,1,Wine,151063264.0
2026-04-01,1,Wine,150668096.0
2026-05-01,1,Wine,117425640.0
2026-06-01,1,Wine,150516192.0
2026-07-01,1,Wine,125037920.0
2026-08-01,1,Wine,123341832.0
2025-03-01,2,Champagne & Sparkling Wine,175588368.0
2025-04-01,2,Champagne & Sparkling Wine,141840768.0
2025-05-01,2,Champagne & Sparkling Wine,137170080.0
2025-06-01,2,Champagne & Sparkling Wine,154260352.0
2025-07-01,2,Champagne & Sparkling Wine,164772128.0
2025-08-01,2,Champagne & Sparkling Wine,156232752.0
2025-09-01,2,Champagne & Sparkling Wine,154336416.0
2025-10-01,2,Champagne & Sparkling Wine,145117904.0
2025-11-01,2,Champagne & Sparkling Wine,155285920.0
2025-12-01,2,Champagne & Sparkling Wine,156703488.0
2026-01-01,2,Champagne & Sparkling Wine,165334336.0
2026-02-01,2,Champagne & Sparkling Wine,157918704.0
2026-03-01,2,Champagne & Sparkling Wine,158271856.0
2026-04-01,2,Champagne & Sparkling Wine,134756656.0
2026-05-01,2,Champagne & Sparkling Wine,150443104.0
2026-06-01,2,Champagne & Sparkling Wine,150132000.0
2026-07-01,2,Champagne & Sparkling Wine,149071904.0
2026-08-01,2,Champagne & Sparkling Wine,164446432.0
2025-03-01,3,Whiskey,495291584.0
2025-04-01,3,Whiskey,619142720.0
2025-05-01,3,Whiskey,560243264.0
2025-06-01,3,Whiskey,546599936.0
2025-07-01,3,Whiskey,568636800.0
2025-08-01,3,Whiskey,619789504.0
2025-09-01,3,Whiskey,574692544.0
2025-10-01,3,Whiskey,614761792.0
2025-11-01,3,Whiskey,577227840.0
2025-12-01,3,Whiskey,599089536.0
2026-01-01,3,Whiskey,593770944.0
2026-02-01,3,Whiskey,582054208.0
2026-03-01,3,Whiskey,576729152.0
2026-04-01,3,Whiskey,527472672.0
2026-05-01,3,Whiskey,491332064.0
2026-06-01,3,Whiskey,548379008.0
2026-07-01,3,Whiskey,531324096.0
2026-08-01,3,Whiskey,540272512.0
2025-03-01,4,Cognac & Brandy,98514424.0
2025-04-01,4,Cognac & Brandy,84510008.0
2025-05-01,4,Cognac & Brandy,92614304.0
2025-06-01,4,Cognac & Brandy,91581816.0
2025-07-01,4,Cognac & Brandy,89721672.0
2025-08-01,4,Cognac & Brandy,92934976.0
2025-09-01,4,Cognac & Brandy,89370008.0
2025-10-01,4,Cognac & Brandy,91011432.0
2025-11-01,4,Cognac & Brandy,96904608.0
2025-12-01,4,Cognac & Brandy,89165408.0
2026-01-01,4,Cognac & Brandy,94678912.0
2026-02-01,4,Cognac & Brandy,92984560.0
2026-03-01,4,Cognac & Brandy,93526128.0
2026-04-01,4,Cognac & Brandy,89916672.0
2026-05-01,4,Cognac & Brandy,105407128.0
2026-06-01,4,Cognac & Brandy,101844152.0
2026-07-01,4,Cognac & Brandy,91099992.0
2026-08-01,4,Cognac & Brandy,103963696.0
2025-03-01,5,Vodka,93839832.0
2025-04-01,5,Vodka,97677432.0
2025-05-01,5,Vodka,99122600.0
2025-06-01,5,Vodka,101804008.0
2025-07-01,5,Vodka,100573608.0
2025-08-01,5,Vodka,100441184.0
2025-09-01,5,Vodka,97602072.0
2025-10-01,5,Vodka,102502360.0
2025-11-01,5,Vodka,102455280.0
2025-12-01,5,Vodka,100801824.0
2026-01-01,5,Vodka,101206952.0
2026-02-01,5,Vodka,104320544.0
2026-03-01,5,Vodka,102959632.0
2026-04-01,5,Vodka,102854584.0
2026-05-01,5,Vodka,105082368.0
2026-06-01,5,Vodka,104805728.0
2026-07-01,5,Vodka,100733840.0
2026-08-01,5,Vodka,101835688.0
